
user_id,event_id,amount,txn_dt,product_code,channel
u001,ev01,150000,2025-08-20,SAV,APP
u001,ev01,50000,2025-07-28,SAV,WEB
u002,ev01,120000,2025-08-22,INV,BRANCH
u003,ev01,80000,2025-06-02,LOAN,APP
u004,ev01,200000,2025-08-30,SAV,APP
u005,ev01,30000,2025-09-01,INV,WEB
u006,ev01,250000,2025-08-15,SAV,APP
u007,ev01,90000,2025-08-10,SAV,WEB
u008,ev01,110000,2025-08-12,LOAN,APP
u009,ev01,500000,2025-08-25,INV,APP
u010,ev01,40000,2025-07-15,SAV,ATM
u011,ev01,130000,2025-08-18,SAV,APP
u012,ev01,95000,2025-08-29,INV,WEB
u013,ev01,140000,2025-08-05,SAV,APP
u014,ev01,160000,2025-08-26,SAV,APP
u015,ev01,20000,2025-08-21,INV,WEB
u016,ev01,115000,2025-08-09,SAV,APP
u017,ev01,123000,2025-08-27,SAV,WEB
u018,ev01,175000,2025-08-31,INV,APP
u019,ev01,74000,2025-08-13,SAV,BRANCH
u020,ev01,220000,2025-08-23,INV,APP
